Player id: jacopo2
Culture: H
Mode: X
Score: 58
Collisions: 0
Time elapsed: 221.4437072277069
Time penalty: 44
Events:
R : 1567779116.0336447
R : 1567779117.8475058
R : 1567779142.0283475
R : 1567779143.2961528
R : 1567779144.5259187
U : 1567779166.6202648
D : 1567779174.5183654
W : 1567779196.7249029
U : 1567779200.870642
D : 1567779203.0625906
R : 1567779204.374987
R : 1567779205.0724587
U : 1567779228.8180912
D : 1567779230.2053814
R : 1567779231.2557304
R : 1567779242.6855738
R : 1567779243.584846
R : 1567779244.1166294
R : 1567779244.9579787
D : 1567779271.3272495
W : 1567779272.385125
W : 1567779292.4251504
D : 1567779307.5599978
W : 1567779310.3350565
U : 1567779311.715188
U : 1567779312.3975189
R : 1567779313.2827077
U : 1567779326.932198
W : 1567779327.8550425
D : 1567779329.677415
R : 1567779330.487378
R : 1567779331.0037029
R : 1567779331.7549286
R : 1567779332.3696494
D : 1567779333.1798341
D : 1567779333.5912483
D : 1567779333.8381786
D : 1567779334.1749976
D : 1567779334.4186249
D : 1567779334.6826673
D : 1567779335.1434436
L : 1567779335.782219
