Player id: jon2
Culture: H
Mode: X
Score: -27
Collisions: 4
Time elapsed: 203.57328271865845
Time penalty: 40
Events:
R : 1567962774.4878056
R : 1567962775.4705012
R : 1567962786.6677673
R : 1567962787.7027164
R : 1567962790.2076063
U : 1567962812.490129
U : 1567962814.2826266
D : 1567962845.010203
U : 1567962849.3596504
D : 1567962850.71753
D : 1567962851.842765
R : 1567962852.9373443
R : 1567962879.2848058
COLLISION : 1567962880.6475673
R : 1567962882.1425838
COLLISION : 1567962884.4928553
W : 1567962885.9604285
W : 1567962888.2175634
COLLISION : 1567962891.275062
L : 1567962896.3773568
U : 1567962897.734807
U : 1567962899.3171659
D : 1567962899.94754
D : 1567962907.7174296
R : 1567962908.7223055
R : 1567962909.3824465
R : 1567962909.7790775
R : 1567962913.1247017
W : 1567962928.4923644
W : 1567962929.3849564
COLLISION : 1567962932.5922506
U : 1567962934.6940248
D : 1567962949.6269398
R : 1567962950.9248374
R : 1567962951.4866295
R : 1567962951.9508212
L : 1567962967.3568785
U : 1567962968.2419126
U : 1567962970.7693858
D : 1567962971.715211
D : 1567962972.6071422
R : 1567962973.010812
R : 1567962973.242344
R : 1567962973.4381971
R : 1567962973.6023583
R : 1567962973.7746234
R : 1567962974.0383143
D : 1567962974.8870912
D : 1567962975.0820177
D : 1567962975.2615182
D : 1567962975.4246511
D : 1567962975.5928304
D : 1567962975.7478502
D : 1567962975.9580219
L : 1567962976.611542
