Player id: jacopo1
Culture: H
Mode: N
Score: 50
Collisions: 0
Time elapsed: 145.9272825717926
Time penalty: 29
Events:
L : 1567778812.9994936
L : 1567778816.2757947
U : 1567778818.5648255
D : 1567778822.4762104
U : 1567778837.9507673
D : 1567778844.280821
U : 1567778846.7085054
D : 1567778854.0213413
U : 1567778855.626203
U : 1567778865.181457
U : 1567778865.901074
U : 1567778866.61623
D : 1567778868.5182917
D : 1567778869.4861283
D : 1567778872.1249557
D : 1567778876.895881
W : 1567778882.4387093
W : 1567778884.3056927
L : 1567778885.7656841
D : 1567778902.6049285
U : 1567778912.8225617
L : 1567778914.179539
L : 1567778915.1619277
L : 1567778925.1959527
L : 1567778926.9882326
D : 1567778931.1881685
W : 1567778936.5421863
W : 1567778937.5935597
U : 1567778940.4204054
L : 1567778941.5615075
L : 1567778942.6424532
D : 1567778946.3596864
W : 1567778948.159803
U : 1567778949.5480363
L : 1567778950.7347791
L : 1567778951.234631
L : 1567778951.7226307
L : 1567778952.0297108
L : 1567778952.3117166
L : 1567778952.6187534
L : 1567778952.9015672
L : 1567778953.4478607
U : 1567778954.7229474
U : 1567778954.9713154
U : 1567778955.2106075
U : 1567778955.3913424
U : 1567778955.6617262
U : 1567778955.907981
U : 1567778956.2063487
R : 1567778957.065171
