Player id: jon1
Culture: H
Mode: N
Score: 37
Collisions: 1
Time elapsed: 142.10765671730042
Time penalty: 28
Events:
L : 1567962487.9817119
L : 1567962489.9835184
L : 1567962499.7938545
L : 1567962502.3889012
L : 1567962503.453347
D : 1567962533.1159372
D : 1567962534.8626482
D : 1567962535.4865656
D : 1567962536.0031939
D : 1567962536.5736225
L : 1567962537.668483
L : 1567962538.0560565
U : 1567962539.3489614
U : 1567962539.8659496
U : 1567962540.3908434
U : 1567962540.8860056
U : 1567962543.278607
L : 1567962546.2406647
L : 1567962546.7360735
L : 1567962547.283261
L : 1567962547.913436
L : 1567962569.318762
COLLISION : 1567962588.1558876
D : 1567962592.65857
D : 1567962594.2634776
U : 1567962595.732605
U : 1567962607.756004
L : 1567962609.2105227
L : 1567962609.9532154
D : 1567962617.768428
D : 1567962620.3106954
U : 1567962621.353046
U : 1567962621.7659435
L : 1567962622.7246675
L : 1567962623.10766
L : 1567962623.7754247
L : 1567962624.2330036
U : 1567962625.7030118
U : 1567962625.9803681
U : 1567962626.197607
U : 1567962626.408056
U : 1567962626.610315
U : 1567962626.8126407
U : 1567962627.0301409
R : 1567962628.0121655
