Player id: qingbiao1
Culture: M
Mode: N
Score: -1
Collisions: 3
Time elapsed: 164.30220103263855
Time penalty: 32
Events:
L : 1567784510.2257235
L : 1567784556.3129165
L : 1567784558.0006852
L : 1567784559.4025471
L : 1567784570.5905614
D : 1567784573.3078346
U : 1567784575.3330247
D : 1567784602.5647657
U : 1567784604.0505588
L : 1567784611.2051315
L : 1567784612.5850978
L : 1567784618.0374923
L : 1567784619.3126495
D : 1567784624.9442425
COLLISION : 1567784627.320227
L : 1567784628.9125776
COLLISION : 1567784630.538648
W : 1567784632.4216971
COLLISION : 1567784633.799789
R : 1567784642.9901197
U : 1567784644.9101057
W : 1567784646.851924
W : 1567784647.692698
D : 1567784648.615043
L : 1567784649.31269
L : 1567784649.9047978
L : 1567784655.8223898
D : 1567784658.8967814
W : 1567784664.2373924
W : 1567784664.9574635
W : 1567784665.6762276
U : 1567784666.6299677
L : 1567784667.2896981
L : 1567784667.843491
L : 1567784668.647003
L : 1567784669.013797
L : 1567784669.4850953
L : 1567784669.9210675
U : 1567784670.8447242
U : 1567784671.1653166
U : 1567784671.4237463
U : 1567784671.5639932
U : 1567784671.7212043
U : 1567784671.8781142
U : 1567784672.0211618
U : 1567784672.175173
R : 1567784673.0788035
